date,ODP,XRT
2012-12-31,3.28,62.3758
2013-01-02,3.46,62.85
2013-01-03,3.6,63.42
2013-01-04,3.66,63.92
2013-01-07,3.64,63.23
2013-01-08,3.62,62.98
2013-01-09,3.58,63.02
2013-01-10,3.65,63.05
2013-01-11,3.76,63.04
2013-01-14,3.8,63.22
2013-01-15,3.87,64.54
2013-01-16,4.03,64.75
2013-01-17,4.23,65.18
2013-01-18,4.65,65.51
2013-01-22,4.48,65.58
2013-01-23,4.49,65.63
2013-01-24,4.4,66.19
2013-01-25,4.37,67.13
2013-01-28,4.43,66.99
2013-01-29,4.33,67.08
2013-01-30,4.29,66.45
2013-01-31,4.33,67.05
2013-02-01,4.46,67.14
2013-02-04,4.38,66.37
2013-02-05,4.52,67.57
2013-02-06,4.5,67.78
2013-02-07,4.41,67.47
2013-02-08,4.49,68.0
2013-02-11,4.4,67.78
2013-02-12,4.57,67.82
2013-02-13,4.46,67.73
2013-02-14,4.5,67.73
2013-02-15,4.59,67.47
2013-02-19,5.02,68.69
2013-02-20,4.18,67.56
2013-02-21,3.98,67.31
2013-02-22,4.21,67.31
2013-02-25,3.93,65.92
2013-02-26,3.99,66.19
2013-02-27,4.03,67.26
2013-02-28,4.03,67.09
2013-03-01,4.01,67.43
2013-03-04,4.18,67.92
2013-03-05,4.19,68.68
2013-03-06,4.01,68.44
2013-03-07,4.14,68.86
2013-03-08,4.13,69.51
2013-03-11,4.1,69.46
2013-03-12,4.03,69.27
2013-03-13,4.05,70.19
2013-03-14,4.05,70.64
2013-03-15,4.01,70.34
2013-03-18,4.07,70.05
2013-03-19,4.05,69.35
2013-03-20,4.1,70.38
2013-03-21,4.03,69.74
2013-03-22,4.02,70.26
2013-03-25,4.0,70.27
2013-03-26,3.99,70.29
2013-03-27,3.89,70.16
2013-03-28,3.93,70.39
2013-04-01,3.82,69.63
2013-04-02,3.84,69.81
2013-04-03,3.76,68.99
2013-04-04,3.77,70.17
2013-04-05,3.71,70.13
2013-04-08,3.83,70.73
2013-04-09,3.91,70.3
2013-04-10,3.99,71.54
2013-04-11,4.02,72.97
2013-04-12,4.01,73.02
2013-04-15,3.75,70.68
2013-04-16,3.71,71.42
2013-04-17,3.68,70.37
2013-04-18,3.68,69.65
2013-04-19,3.8,70.47
2013-04-22,3.9,70.725
2013-04-23,3.84,71.56
2013-04-24,3.82,72.14
2013-04-25,3.79,73.31
2013-04-26,3.74,73.02
2013-04-29,3.7,73.02
2013-04-30,3.86,73.47
2013-05-01,3.74,72.52
