date,IVZ,KCE,beta,value,price
2014-06-19,37.2,48.86,0.7620861152317808,-0.03552759022480956,29.96447240977519
2014-06-20,37.24,49.17,0.762461562641747,-0.250235035094704,29.749764964905296
2014-06-23,37.55,49.24,0.762659131525199,-0.0033356363008039125,29.996664363699196
2014-06-24,37.08,48.6,0.7628422991071213,0.005864263393903002,30.005864263393903
2014-06-25,37.49,48.93,0.7629568692969609,0.15852038529970258,30.158520385299703
2014-06-26,37.32,48.7,0.7631605021985323,0.15408354293147397,30.154083542931474
2014-06-27,37.74,48.91,0.7633289919584785,0.40557900331081953,30.40557900331082
2014-06-30,37.75,49.23,0.7636231857489499,0.15683056557919883,30.1568305655792
2014-07-01,38.35,49.48,0.764009360080199,0.5468168632317543,30.546816863231754
2014-07-02,38.21,49.2,0.7644644489645264,0.5983491109452999,30.5983491109453
2014-07-03,38.66,49.75,0.7650079427218496,0.6008548495879822,30.600854849587982
2014-07-07,38.7,49.29,0.7654382493483948,0.9715486896176273,30.971548689617627
2014-07-08,38.09,48.4899,0.7660081586254401,0.9463409890682755,30.946340989068275
2014-07-09,38.36,48.38,0.7665013610414223,1.2766641528159894,31.27666415281599
2014-07-10,37.74,47.86,0.7670975891907867,1.0267093813289492,31.02670938132895
2014-07-11,37.96,47.94,0.7675747005060647,1.1624688577392632,31.162468857739263
2014-07-14,38.1,48.166,0.7681186709072584,1.1027960970809971,31.102796097080997
2014-07-15,38.08,48.14,0.768678275515912,1.0758278166639954,31.075827816663995
2014-07-16,38.23,48.08,0.7693298631114268,1.2406201816025941,31.240620181602594
2014-07-17,37.63,47.686,0.7699942796428545,0.9120527809508445,30.912052780950845
2014-07-18,38.05,48.21,0.7706160636872673,0.8985995696368363,30.898599569636836
2014-07-21,38.09,48.07,0.7712421948618441,1.0163876929911595,31.01638769299116
2014-07-22,38.73,48.44,0.7720019617339372,1.3342249736080802,31.33422497360808
2014-07-23,38.61,48.54,0.7728413965060178,1.096278613597896,31.096278613597896
2014-07-24,38.55,48.899,0.7735004483295765,0.7266015771320298,30.72660157713203
2014-07-25,38.41,48.44,0.7740659466094423,0.914245546238611,30.91424554623861
2014-07-28,38.43,48.47,0.7748433112892577,0.8733447018096854,30.873344701809685
2014-07-29,38.19,48.96,0.7753351132836945,0.22959285363031512,30.229592853630315
2014-07-30,38.38,48.95,0.7756670764363025,0.4110966084429961,30.411096608442996
2014-07-31,37.63,47.645,0.7760839467271071,0.6534803581869824,30.653480358186982
2014-08-01,37.82,47.21,0.7765271104746004,1.1601551144941098,31.16015511449411
2014-08-04,38.27,47.23,0.7771370096648386,1.565819033529678,31.565819033529678
2014-08-05,37.54,46.83,0.7779657516985872,1.1078638479551657,31.107863847955166
2014-08-06,38.06,47.237,0.7785199303120276,1.28505405185075,31.28505405185075
2014-08-07,37.81,46.81,0.7793345383113224,1.3293502616470008,31.329350261647
2014-08-08,37.85,47.35,0.7801193566669143,0.9113484618216035,30.911348461821603
2014-08-11,38.37,47.59,0.7807469797266278,1.2142512348097796,31.21425123480978
2014-08-12,38.72,47.42,0.781483546043525,1.6620502466160403,31.66205024661604
2014-08-13,38.82,47.68,0.7823697062540932,1.5166124058048354,31.516612405804835
2014-08-14,39.26,47.77,0.783233481090919,1.844936608286794,31.844936608286794
2014-08-15,38.92,47.61,0.7840918634396888,1.589386381636416,31.589386381636416
2014-08-18,39.49,48.226,0.7849389044774331,1.6355363926713125,31.635536392671312
2014-08-19,39.56,48.19,0.7858778655872198,1.688545657351881,31.68854565735188
2014-08-20,40.09,48.54,0.7868298218716503,1.897280446350102,31.897280446350102
2014-08-21,40.38,48.83,0.7878512160359641,1.9092251209638746,31.909225120963875
