date,AEP,XLU,beta,value,price
2011-06-01,38.02,33.52,1.108882441458814,0.8502605623005479,30.850260562300548
2011-06-02,37.97,33.42,1.109339031977984,0.8958895512957739,30.895889551295774
2011-06-03,37.51,33.19,1.1098402963896359,0.6744005628279837,30.674400562827984
2011-06-06,37.58,33.039,1.110255408714198,0.8982715514916109,30.89827155149161
2011-06-07,37.57,33.08,1.1108600726532274,0.8227487966312381,30.822748796631238
2011-06-08,37.66,33.16,1.111446610509514,0.804430395504518,30.804430395504518
2011-06-09,37.46,33.19,1.112027515202306,0.5518067704354692,30.55180677043547
2011-06-10,37.12,32.97,1.1123559971727004,0.4456227732160656,30.445622773216066
2011-06-13,37.13,33.12,1.1126845226978046,0.2778886082487162,30.277888608248716
2011-06-14,37.32,33.25,1.1132746572849386,0.3036176452757928,30.303617645275793
2011-06-15,36.93,32.84,1.1137032727546257,0.35598452273809045,30.35598452273809
2011-06-16,37.35,33.1,1.114238503538265,0.4687055328834333,30.468705532883433
2011-06-17,37.64,32.99,1.1148163578516832,0.8622083544729691,30.86220835447297
2011-06-20,37.91,33.18,1.115429186884044,0.9000595791874133,30.900059579187413
2011-06-21,37.88,33.2,1.1159929825625226,0.8290329789242534,30.829032978924253
2011-06-22,37.58,32.98,1.1165711751812017,0.7554826425239654,30.755482642523965
2011-06-23,37.3,32.7,1.1170671590434125,0.771903899280403,30.771903899280403
2011-06-24,37.1,32.8,1.1175426457023414,0.4446012209632073,30.444601220963207
2011-06-27,37.3,33.04,1.1178666703224698,0.3656852125455998,30.3656852125456
2011-06-28,37.43,33.19,1.118288811986843,0.31399433015668166,30.31399433015668
2011-06-29,37.57,33.41,1.118644265702453,0.19609508288105104,30.19609508288105
2011-06-30,37.68,33.48,1.1189689845216957,0.2169183982136289,30.21691839821363
2011-07-01,38.18,33.88,1.1193104323631837,0.257762551535329,30.25776255153533
2011-07-05,38.51,33.68,1.1196745356391524,0.799361639673343,30.799361639673343
2011-07-06,38.5,33.75,1.1202970093441247,0.6899759346357897,30.68997593463579
2011-07-07,38.52,33.89,1.120901026212616,0.5326642216544428,30.532664221654443
2011-07-08,38.35,33.76,1.1214586574356435,0.48955572497267497,30.489555724972675
